CourseExternalId|CourseComponent|CourseTitle|CourseDescription|CourseDisclaimer|Office|Archive|TargetLocation|CourseCredit1|CourseNotes|CourseEditableField1
4079||Sexual Orientation|This presentation will explore the needs of Gay, Lesbian, Bisexual and Transgender youth in the school setting.  In order to create a safe environment so learning can occur for youth, we must:  1. educate and help facilitate awareness about gay and lesbia||16|1|8|1.50||
4081||Growing Through Grief:  A School Support Program|This session will provide an overview of the "Growing Through Grief" program, the developmental aspects of grief and how we can help and support grieving students of all ages.  Susan Johnson and Sarah Kroenke are counselors in the program "Growing Through||16|1|8|1.50||
4082||Restorative Justice|When difficulties arise in the classroom, how can we utilize the assets of students and teachers, build rather than damage relationships, and resolve problems in a respectful, effective, and satisfying way?  Useful insights are emerging from the field of ||16|1|8|1.50||
4083||Kids Who Don't Seem to Care!  Or|Every intermediate and middle school teacher has had a student who doesn't seem to care!  What is going on with these students?  Norann Lafon will share her story on how she changes their lives.  She develops the greatest asset a student can have - knowin||16|1|8|1.50||pbi
4084||'Reads Well with Others' or Primary Practices to Increase Academic and Social Assets in Young Children|Early success in literacy and working with others have long been recognized as crucial assets for a primary student.  Kristy and Maureen Curran-Dorsano will share the research-based techniques in Early Success, the intervention curriculum used in Success ||16|1|8|1.50||
4086||Building Bridges and Assets with Special Needs Children and Their Families|Do you ever feel that building assets with special needs students in your classroom is 'different'?  More difficult?  It may be, but it's all about relationships.  Come and hear a parent's perspective, and generate some practical ideas in relation to the ||16|1|8|1.50||pbi
4087||Building Bridges and Assets with Special Needs Children and Their Families|Do you ever feel that building assets with special needs students in your classroom is 'different'?  More difficult?  It may be, but it's all about relationships.  Come and hear a parent's perspective, and generate some practical ideas in relation to the ||16|1|8|1.50||
4088||Building Academic Assets for all Students (Grades 3 - 6)|Learning to read and understand texbooks, literature and other reading materials is a crucial skill for intermediate and young middle school students.  Self esteem and peer relations are impacted by the ability to be an effective reader and successful stu||16|1|8|1.50||
4090||Signs of Suicide and Prevention Strategies|SAVE's school-based prevention program, SAVE-A-Student, takes SAVE's prevention message - recognize symptoms and warning signs and get treatment - into schools.  Using a successful suicide prevention training program, QPR (Questions, Persuade, and Refer),||16|1|8|1.50||
4091||'Reads Well with Others' or Primary Practices to Increase Academic and Social Assets in Young Children|Early success in literacy and working with others have long been recognized as crucial assets for a primary student.  Kristy and Maureen Curran-Dorsano will share the research-based techniques in Early Success, the intervention curriculum used in Success ||16|1|8|1.50||
4092||Kids Who Don't Seem to Care!  Or|Every intermediate and middle school teacher has had a student who doesn't seem to care!  What is going on with these students?  Norann Lafon will share her story on how she changes their lives.  She develops the greatest asset a student can have - knowin||16|1|8|1.50||
4093||Restorative Justice|When difficulties arise in the classroom, how can we utilize the assets of students and teachers, build rather than damage relationships, and resolve problems in a respectful, effective, and satisfying way?  Useful insights are emerging from the field of ||16|1|8|1.50||
4094||Growing Through Grief:  A School Support Program|This session will provide an overview of the "Growing Through Grief" program, the developmental aspects of grief and how we can help and support grieving students of all ages.  Susan Johnson and Sarah Kroenke are counselors in the program "Growing Through||16|1|8|1.50||
4095||Crisis Intervention|This Crisis Support Steering Committee provides coordination and support to individual building administrators, Crisis Teams, staff and students, in the event of the death of a student or staff member.  This session will include an overview of the history||16|1|8|1.50||mental
4096||Sexual Orientation|This presentation will explore the needs of Gay, Lesbian, Bisexual and Transgender youth in the school setting.  In order to create a safe environment so learning can occur for youth, we must:  1. educate and help facilitate awareness about gay and lesbia||16|1|8|1.50||
4097||Dealing with Anxiety Disorders|Come hear her moving story; her personal, lifelong struggle with anxiety disorder and its impact on her life, from a K-12 student to adulthood.  Sarah is a graduate of Edina Class 1961, a member of the Edina Board of Education from 1983 - 85, and Chairper||16|1|8|1.50||
4098||A Panel of Ministers:  How We View Edina Kids|Based on extensive work and interaction with Edina youth, this panel of ministers will share their views of our youth and the roles we can all take in building their assets.  Rev. Anthony Jones ia a graduate of Edina Class 1986 and is an ordained minister||16|1|8|1.50||
4099||Eating Disorders|The Eating Disorders Institute provides treatment of varying intensity for individuals struggling with anorexia nervosa and bulimia nervosa.  This presentation will include socio-cultural factors, signs and symptoms, and suggestions for reaching out to so||16|1|8|1.50||
4101||Depression and Other Mood Disorders in Children and Adolescents|This presentation will review the signs and symptoms of mood disorders, with special focus on how they tend to manifest in the school setting.  We will examine risk factors, the overlap with other mental health problems and with chemical health issues, an||16|1|8|1.50||
4102||Attention Deficit and Attention Deficit Hyperactive Disorder|Dr. Torguson will discuss the signs and symptoms of ADD and ADHD in children.  Practical pointers will be given on how to identify these children in a school setting and explore other possible conditions that may resemble ADD/ADHD.  The etiology and treat||16|1|8|1.50||
4103||Closure:  Edina High School|Improv is a national award winning prevention strategy that places young people in front of audiences to generate problem-solving discussions.  Edina students will present two short scenes, portraying realistic scenarios, the first followed-up by a facili||16|1|8|0.50||
4139||Building Academic Assets for all Students (Grades 3 - 6)|Learning to read and understand texbooks, literature and other reading materials is a crucial skill for intermediate and young middle school students.  Self esteem and peer relations are impacted by the ability to be an effective reader and successful stu||16|1|8|1.50||
4181||Music Curriculum 10/24/00|||16|1|8|0.00||
4182||Music Curriculum|||16|1|8|0.00||
4183||Music Curriculum|||16|1|8|0.00||
4185||Music Curriculum|||16|1|8|0.00||
4186||Music Curriculum|||16|1|8|0.00||
4187||Music Curriculum|||16|1|8|0.00||
4188||Music Curriculum|||16|1|8|0.00||
4189||Music Curriculum|||16|1|8|0.00||
4190||Music Curriculum|||16|1|8|0.00||
4191||Music Curriculum|||16|1|8|0.00||
4192||Music Curriculum|||16|1|8|0.00||
4193||Music Curriculum|||16|1|8|0.00||
4194||Music Curriculum|||16|1|8|0.00||
4195||Music Curriculum|||16|1|8|0.00||
4196||Music Curriculum|||16|1|8|0.00||
4197||Music Curriculum|||16|1|8|0.00||
4198||Music Curriculum|||16|1|8|0.00||
4199||Music Curriculum|||16|1|8|0.00||
4200||Music Tech Inservice|||16|1|8|0.00||
4201||Music Tech Inservice|||16|1|8|0.00||
4202||Music Curriculum Study|||16|1|8|0.00||
4203||Music Tech Inservice|||16|1|8|0.00||
4204||Music Tech Inservice|||16|1|8|0.00||
4205||Music Curriculum Study|||16|1|8|0.00||
4207||Music Tech Inservice|||16|1|8|0.00||
4208||Music Curriculum Study|||16|1|8|0.00||
4209||Music Tech Inservice|||16|1|8|0.00||
4210||Music Curriculum Study|||16|1|8|0.00||
4211||Music Tech Inservice|||16|1|8|0.00||
4212||Music Tech Inservice|||16|1|8|0.00||
4213||Music Curriculum Study|||16|1|8|0.00||
4214||Music Tech Inservice|||16|1|8|0.00||
4215||Music Curriculum Study|||16|1|8|0.00||
4216||Music Tech Inservice|||16|1|8|0.00||
4217||Music Curriculum Study|||16|1|8|0.00||
4218||Music Tech Inservice|||16|1|8|0.00||
4219||Music Curriculum Study|||16|1|8|0.00||
4220||Music Tech Inservice|||16|1|8|0.00||
4221||Music Curriculum Study|||16|1|8|0.00||
4223||Music Tech Inservice|||16|1|8|0.00||
4224||Music Tech Inservice|||16|1|8|0.00||
4225||Music Curriculum Study|||16|1|8|0.00||
4226||Music Tech Inservice|||16|1|8|0.00||
4227||Music Tech Inservice|||16|1|8|0.00||
4228||Music Curriculum Study|||16|1|8|0.00||
4229||Music Tech Inservice|||16|1|8|0.00||
4230||Music Curriculum Study|||16|1|8|0.00||
4231||Music Tech Inservice|||16|1|8|0.00||
4232||Music Curriculum Study|||16|1|8|0.00||
4233||Music Tech Inservice|||16|1|8|0.00||
4234||Music Tech Inservice|||16|1|8|0.00||
4235||Music Curriculum Study|||16|1|8|0.00||
4236||Music Tech Inservice|||16|1|8|0.00||
4237||Music Tech Inservice|||16|1|8|0.00||
4238||Music Curriculum Study|||16|1|8|0.00||
4239||Music Tech Inservice|||16|1|8|0.00||
4240||Music Curriculum Study|||16|1|8|0.00||
4241||Music Tech Inservice|||16|1|8|0.00||
4242||Music Tech Inservice|||16|1|8|0.00||
4243||Music Tech Inservice|||16|1|8|0.00||
4244||Art Curriculum Mtg|||16|1|8|0.00||
4245||Art Curriculum Mtg|||16|1|8|0.00||
4246||Art Curriculum Mtg|||16|1|8|0.00||
4247||Art Curriculum Mtg|||16|1|8|0.00||
4248||Art Curriculum Mtg|||16|1|8|0.00||
4249||Art Curriculum Mtg|||16|1|8|0.00||
4250||Art Curriculum Mtg|||16|1|8|0.00||
4251||Art Curriculum Mtg|||16|1|8|0.00||
4252||Art Curriculum Mtg|||16|1|8|0.00||
4253||Art Curriculum Mtg|||16|1|8|0.00||
4254||How to Nurture Your Child's Learning Style|||16|1|8|0.00||
4255||How to Nurture Your Child's Learning Style|||16|1|8|0.00||
4256||How to Nurture Your Child's Learning Style|||16|1|8|0.00||
4257||Circle of Good Friends and Good Books|||16|1|8|0.00||
4258||Cirlce of Good Friends and Good Books|||16|1|8|0.00||
4259||Circle of Good Books and Good Friends|||16|1|8|0.00||
4260||Circle of Good Books and Good Friends|||16|1|8|0.00||
4261||Circle of Good Friends and Good Books|||16|1|8|0.00||
4262||Circle of Good Friends and Good Books|||16|1|8|0.00||
4263||Circle of Good Friends and Good Books|||16|1|8|0.00||
4264||Circle of Good Friends and Good Books|||16|1|8|0.00||
4265||What Every 9th Grade Parent Should Know about High School|||16|1|8|0.00||
4266||What Every 9th Grade Parent Should Know About High School|||16|1|8|0.00||
4268||Children in a Media Driven World|||16|1|8|0.00||
4269||Workshop #1:  Internet Search Strategies|K-12 Teachers:  Rm 348C ECC\r\nThis is a basic introduction to using the Internet for enhancing instruction.  Learn the ins and outs of effective searching on the web using a variety of search engines, directories, and metaengines.  Find out how to narrow||16|1|8|4.00||
4270||Workshop #2: Curriculum & Professional Resources on the Internet|Secondary:  Rm 348C ECC\r\nDo you know where to go to research topics for your class?  Can you find 'teacher support' Web sites?  How about professional organizations and information?  Bring along an idea for an upcoming unit that you would like to suppor||16|1|8|4.00||
4272||Workshop #4: Managing A Technology Learning Center in Your Classroom|All Teachers:  Rm 348C ECC\r\nDo you wonder just what to do with more students than computers in your classroom?  This class will provide you with ideas for immediate classroom use!  Bring along your ideas for using those computers and leave feeling prepa||16|1|8|4.00||
4273||Workshop #5: Managing A Technology Learning Center in Your Classroom|All Teachers:  Rm 348C ECC\r\nDo you wonder just what to do with more students than computers in your classroom?  This class will provide you with ideas for immediate classroom use!  Bring along your ideas for using those computers and leave feeling prepa||16|1|8|4.00||
4276||Workshop #8: Technology and Language Arts for the Elementary Classroom|Intermediate Elementary:  Rm 348C ECC\r\nIntegrated Web activities that work with your curriculum!  Locate and use sites designed as curriculum related 'teacher resources' and sites on the Web just for use in teaching Language Arts! Bring along an idea fo||16|1|8|4.00||
4277||Workshop #9: Fathom:  Software for Secondary Math, Social Studies & Science Teachers|6 - 12 Math, Science & Social Studies Teachers:  Rm 348C ECC\r\nThis workshop introduces participants to Fathom Dynamic Statistics Software.  This software is designed to display and analyze data interactively.  The user can visually see the changing rela||16|1|8|4.00||
4279||Workshop #11: Introduction to Access|All Staff:  Rm 348C ECC\r\nLearn the very basics of this powerful relational database software.  You will learn to design your own tables of data and manipulate them using the sort and filter capabilities.  You will also learn to build simple queries agai||16|1|8|6.00||
4280||Workshop #12: Intermediate Access|All Staff:  Rm 348C ECC\r\nPre-Requisite: Intro to Access either through TIES or ISD273.  This workshop will focus on the more sophisticated features of retrieving and reporting information from an Access database.  Sharpen your Access skills by learning ||16|1|8|6.00||
4281||Workshop #13: GIS: Software for Secondary Social Studies and Science Teachers|6 - 12 Math, Science and Social Studies Teachers: Rm 348C ECC\r\nLearn to utilize Georgraphic Information Systems (GIS) software to enhance your ability to teach and your students' ability to learn the curriculum.  You will utilize digital maps to relate ||16|1|8|4.00||
4282||Workshop #14: Implementing FOSS Kits in Your Elementary Classroom|Teachers K - 5:  Rm 348C ECC\r\nIntegreate technology that works with your FOSS Units.  Locate and use sites designed as curriculum related 'teacher resources' and sites on the web just for use in teaching science.  Bring along an idea for an upcoming uni||16|1|8|4.00||
4284||Workshop #16: Multi-Media Software in the K-12 Clasroom|Teachers K - 12:  Rm 348C ECC\r\nSee a demonstration and then learn the basics of PowerPoint, KidPix and Hyperstudio.  These pieces of software can be used by teachers to create jazzy instructional tools, or used by students for a variety of performance a||16|1|8|4.00||
4287||Workshop #19: Elementary Grade Level Math & Technology Integration Sessions|5th Grade Math Teachers:  Rm 348C ECC\r\nLearn the best sites to use on the Internet that relate to your grade level curriculum as well as how to utilize grade appropriate software.||16|1|8|4.00||
4288||Workshop #21: Elementary Grade Level Math & Technology Integration Sessions|4th Grade Math Teachers:  Rm 348C ECC\r\nLearn the best sites to use on the Internet that relate to your grade level curriculum as well as how to utilize grade appropriate software.||16|1|8|4.00||
4289||Workshop #20: Elementary Grade Level Math & Technology Integration Sessions|3rd Grade Math Teachers:  Rm 348C ECC\r\nLearn the best sites to use on the Internet that relate to your grade level curriculum as well as how to utilize grade appropriate software.||16|1|8|4.00||
4290||Workshop #22: Elementary Grade Level Math & Technology Integration Sessions|1st Grade Math Teachers: Rm 348C ECC\r\nLearn the best sites to use on the Internet that relate to your grade level curriculum as well as how to utilize grade appropriate software.||16|1|8|4.00||
4291||Workshop #23: Elementary Grade Level Math & Technology Integration Sessions|2nd Grade Math Teachers:  Rm 348C ECC\r\nLearn the best sites to use on the Internet that relate to your grade level curriculum as well as how to utilize grade appropriate software.||16|1|8|4.00||
4292||Workshop #24: Excel in the Classroom:  Full Day Class|K-12 Teachers:  Rm 348C ECC\r\nLearn the basics of how to use Excel to calculate mathematical equations, create graphs, and manage data.  The afternoon will consist of breakout sessions of elementary and secondary teachers to work on integrating this soft||16|1|8|6.00||
4293||Workshop #25: Update Your DreamWeaver Teacher Web Page|K-12 Teachers:  Rm 348C ECC\r\nPre-requisite:  You must have had the DreamWeaver class taught either by your ITS or Scott Johnson. Use this day to update the teacher web page you previously made.  Be sure to bring these things with you to add to your page||16|1|8|4.00||
4294||Workshop #26: Update Your DreamWeaver Teacher Web Page|K-12 Teachers:  Rm 348C ECC\r\nPre-requisite:  You must have had the DreamWeaver class taught either by your ITS or Scott Johnson. Use this day to update the teacher web page you previously made.  Be sure to bring these things with you to add to your page||16|1|8|4.00||
4295||Workshop #27: Designing Web Pages (2 Saturday Mornings)|All Teachers (April 21 & 28):  VV Rm 261\r\nLearn the principles of web page design while designing your own web page.  Participants will learn the steps to create a usable web page including: 1) planning; 2) using a web design; 3) creating links; 4) impo||16|1|8|9.00||
4333||Children in a Media Driven World|||16|1|8|0.00||
4334||Children in a Media Driven World|||16|1|8|0.00||
4335||Children in a Media Driven World|||16|1|8|0.00||
4336||Children in a Media Driven World|||16|1|8|0.00||
4337||Children in a Media Driven World|||16|1|8|0.00||
4338||Children in a Media Driven World|||16|1|8|0.00||
4339||PCN Forum:  Stress|||16|1|8|0.00||
4340||PCN Forum:  Stress|||16|1|8|0.00||
4341||PCN Forum:  Stress|||16|1|8|0.00||
4342||PCN Forum:  Stress|||16|1|8|0.00||
4343||PCN Forum:  Stress|||16|1|8|0.00||
4344||SAVE PCN Forum|||16|1|8|0.00||
4345||SAVE PCN Forum|||16|1|8|0.00||
4346||SAVE PCN Forum|||16|1|8|0.00||
4347||Grad Standards 101|||16|1|8|0.00||
4348||Grad Standards 101|||16|1|8|0.00||
4349||Grad Standards 101|||16|1|8|0.00||
4350||Grad Standards 101|||16|1|8|0.00||
4351||Grad Standards 101|||16|1|8|0.00||
4352||Grad Standards 101|||16|1|8|0.00||
4353||Grad Standards 101|||16|1|8|0.00||
4354||Grad Standards 101|||16|1|8|0.00||
4355||Grad Standards 101|||16|1|8|0.00||
4356||Grad Standards 101|||16|1|8|0.00||
4357||Autism Workshop|||16|1|8|0.00||
4358||Internet Search Strategies|||16|1|8|0.00||
4359||Internet Search Strategies|||16|1|8|0.00||
4360||Internet Search Strategies|||16|1|8|0.00||
4361||Tech Enhanced Units|||16|1|8|0.00||
4362||Tech Enhanced Units|||16|1|8|0.00||
4363||Tech Enhanced Units|||16|1|8|0.00||
4364||Tech Enhanced Units|||16|1|8|0.00||
4365||Tech Enhanced Units|||16|1|8|0.00||
4366||Tech Enhanced Units|||16|1|8|0.00||
4367||Planning a Tech Infused Unit|||16|1|8|0.00||
4368||Planning a Tecn Infused Unit|||16|1|8|0.00||
4369||Planning a Tech Infused Unit|||16|1|8|0.00||
4370||Designing Web Pages|||16|1|8|0.00||
4371||Designing Web Pages|||16|1|8|0.00||
4372||Designing Web Pages|||16|1|8|0.00||
4373||Designing Web Pages|||16|1|8|0.00||
4374||Designing Web Pages|||16|1|8|0.00||
4375||Designing Web Pages|||16|1|8|0.00||
4376||Designing Web Pages|||16|1|8|0.00||
4377||Designing Web Pages|||16|1|8|0.00||
4378||Designing Web Pages|||16|1|8|0.00||
4379||Curriculum Resources on the Internet|||16|1|8|0.00||
4380||Designing Web Pages|||16|1|8|0.00||
4381||Planning a Tech Infused Unit|||16|1|8|0.00||
4382||Managing a Tech Learning Center in Your Classroom|||16|1|8|0.00||
4383||Planning a Tech Infused Unit|||16|1|8|0.00||
4384||Webquest 1|||16|1|8|0.00||
4385||Curriculum Resources on the Internet|||16|1|8|0.00||
4386||Professional Teacher Resources|||16|1|8|0.00||
4387||Managing a Tech Learning Center|||16|1|8|0.00||
4388||WebQuest 1|||16|1|8|0.00||
4389||Curriculum Resources on the Internet|||16|1|8|0.00||
4390||Managing a Tech Learning Center|||16|1|8|0.00||
4391||Professional Teacher Resources|||16|1|8|0.00||
4392||WebQuest 1|||16|1|8|0.00||
4393||WebQuest 1|||16|1|8|0.00||
4394||WebQuest 1|||16|1|8|0.00||
4395||Curriculum Resources on the Internet|||16|1|8|0.00||
4396||WebQuest|||16|1|8|0.00||
4397||WebQuest 1|||16|1|8|0.00||
4398||WebQuest 1|||16|1|8|0.00||
4399||WebQuest 1|||16|1|8|0.00||
4400||WebQuest 1|||16|1|8|0.00||
4401||Curriculum Resources on the Internet|||16|1|8|0.00||
4402||Professional Teacher Resources|||16|1|8|0.00||
4403||Curriculum Resources on the Internet|||16|1|8|0.00||
4404||Managing a Tech Learning Center|||16|1|8|0.00||
4405||Managing a Tech Learning Center|||16|1|8|0.00||
4406||Managing a Tech Learning Center|||16|1|8|0.00||
4407||Managing a Tech Learning Center|||16|1|8|0.00||
4408||Managing a Tech Learning Center|||16|1|8|0.00||
4409||Managing a Tech Learning Center|||16|1|8|0.00||
4410||Managing a Tech Learning Center|||16|1|8|0.00||
4411||Managing a Tech Learning Center|||16|1|8|0.00||
4412||Professional Teacher Resources|||16|1|8|0.00||
4413||Professional Teacher Resources|||16|1|8|0.00||
4414||Professional Teacher Resources|||16|1|8|0.00||
4415||Professional Teacher Resources|||16|1|8|0.00||
4416||Professional Teacher Resources|||16|1|8|0.00||
4417||Managing Math Centers|||16|1|8|0.00||
4419||Managing Math Centers|||16|1|8|0.00||
4420||Managing Math Center|||16|1|8|0.00||
4421||Managing Math Centers|||16|1|8|0.00||
4422||Managing Math Center|||16|1|8|0.00||
4423||Managing Math Centers|||16|1|8|0.00||
4424||Managing Math Centers|||16|1|8|0.00||
4426||Managing Math Centers|||16|1|8|0.00||
4427||Tech for Teaching:  Getting in the S.W.I.M With the Profile of Learning|||16|1|8|6.00||tech
4428||Everyday Creativity for ECSE, Speech Therapists, Self-Contained Teachers|||16|1|8|3.50||
4429||IEP Electronic Training|||16|1|8|3.00||
4430||Grad Standards (Special Services)|||16|1|8|3.50||
4458||CPI Training 2000-01|||16|1|8|6.00||
4459||Language Arts (K-12 Assembly)|||16|1|8|2.50||
4461||CPR Training 2000-01|||16|1|8|4.00||
4464||OSHA TRAINING: Cornelia & Highlands Staff|||16|1|8|1.00||
4465||Concord WebQuest Class|||16|1|8|1.00||
4467||6 Traits of Writing - Concord|||16|1|8|1.00||
4468||Carmen SanDiago Tech Class|||16|1|8|1.00||
4469||Strategies to Help All Students Achieve|||16|1|8|1.00||
4470||Reciprocal Teaching|||16|1|8|1.00||
4471||Spelling Ideas|||16|1|8|1.00||
4472||Math Web Sites Tech Classes|||16|1|8|1.00||
4474||Making Graphs in PowerPoint|||16|1|8|1.00||
4475||Goal Setting Class/2nd and 3rd Year Teachers|||16|1|8|1.00||
4476||DRA Training - Concord|||16|1|8|2.00||
4477||Running Records - Concord|||16|1|8|2.00||
4478||OSHA Training - CV Staff|||16|1|8|1.00||
4479||Project 2061 Workshop|||16|1|8|18.00||
4493||WebQuest 2: 2/21/01|||16|1|8|4.00||
4494||South View/Valley View In-Service|||16|1|8|6.00||
4495||Students with Asthma|||16|1|8|1.00||
4496||First Aid Class|||16|1|8|5.00||
4497||Creative Problem Solving|||16|1|8|2.50||
4499||Managing Math Centers|||16|1|8|0.00||
4500||Media "children in a Media Driven World|||16|1|8|0.00||
4502||Secondary New Teacher Technology Inservice|||16|1|8|6.00||
4504||February Inservice with Creek Valley Staff|Mary Kirchhof - Vocabulary development\r\nJenni Norlin-Weaver - Perfomance assessments\r\nMarilynn Pavlak - EveryDay Math||16|1|8|6.00||
4508||Kindergaren Connection Day|||16|1|8|6.00||
4509||High School Staff Development Day|||16|1|8|3.00||
4513||PCN Raising Resilient Children with Dr. Brooks|||16|1|8|1.50||
4516||Using the Internet to Strengthen Learning in Eng &|Approval Number 008513--I have a certificate of participation from BER as well.\r\n\r\nLearned how to use and develop internet related activities for language arts & social studies classes, including hot lists, web pages and web quests.  Became familiar w||16|1|8|0.00||
4519||MN Reading Best Practice RegionNet IX|Attended seminar on how to teach inferencing skills using a variety of print materials, which ties in with middle school curriculum and preparing for the BST.  Also attended a seminar on how to get the whole school to use the same reading strategies so th||16|1|8|0.00||
4520||Social Worker Web Pages|||16|1|8|6.00||
4524||Group 1 - Beginner Level Work Session|You are learning to:\r\n- define what a differentiated classroom is.\r\n- give a rationale for differentiated instruction \r\n  in your classroom.\r\n- identify principles that guide differentiation.\r\n- identify strategies to manage your   differentiate||16|1|8|3.00||diff
4525||Group 2:  Intermediate Level Work Session|You are learning to:- plan differentiated lessons.- identify several strategies and guidelines you  can use for differentiating content.- identify several strategies and guidelines you  can use for differentiating process.- identify several strategies and||16|1|8|3.00||diff
4527||Group 3:  Advanced Level Work Session|You are learning to:\r\n- implement differentiation in your classroom on a\r\n  regular basis.\r\n- share how the learning environment in your\r\n  classroom supports differentiated instruction.\r\n- explain how concept-based teaching with learning\r\n  s||16|1|8|3.00||diff
4530||Differentiated Instruction:  Welcome and Overview|Dr. Christine Weymouth will introduce Dr. Carol Ann Tomlinson.  Dr. Tomlinson is a national speaker and her career as an educator includes 21 years as a public school teacher, including 12 years as a program administrator of special services for strugglin||16|1|8|2.00||diff
4531||Closure:  Pre-Assessment:  The Key to Differentiation|This session will be presented by Dr. Carol Ann Tomlinson.\r\nFICK AUDITORIUM - EDINA HIGH SCHOOL||16|1|8|1.00||diff
4549||CV Tech Hours Semester 1 2000|||16|1|8|1.00||
4551||EHS: Tech Hours Sem 1 00-01|||16|1|8|1.00||
4553||EHS:  Tech Hours Sem 1 00-01|||16|1|8|2.00||
4554||Outlook Introduction|||16|1|8|1.00||
4557||EHS:  Tech Hours Sem 1 00-01|||16|1|8|3.00||
4560||CV Tech Hours 1st Semester|||16|1|8|3.00||
4561||EHS:  Tech Hours Sem 1 00-01|||16|1|8|5.00||
4562||CV Tech Hours First Semester|||16|1|8|4.00||
4563||EHS:  Tech Hours Sem 1 00-01|||16|1|8|6.00||
4565||CV Tech Hours 1st Semester|||16|1|8|5.00||
4566||EHS:  Tech Hours Sem 1 00-01|||16|1|8|7.00||
4570||EHS:  Tech Hours Sem 1 00-01|||16|1|8|8.00||
4574||CV Tech Hours 1st Semester 2000-2001|||16|1|8|12.00||
4575||CV Tech Hours 1st Semester 2000-2001|||16|1|8|13.00||
4576||CV Tech Hours 1st Semester 2000-2001|||16|1|8|14.00||
4577||CV Tech Hours 1st Semester 2000-2001|||16|1|8|15.00||
4578||CV Tech Hours 1st Semester 2000-2001|||16|1|8|20.00||
4579||Research With Kids|||16|1|8|1.00||
4580||Cornelia Tech Classes|||16|1|8|1.00||
4581||Corn. Tech Classes|||16|1|8|2.00||
4584||Normandale:Guided Reading|mini-workshop taught by Gerry Lukaska as part of our Feb. 16th trade-off||16|1|8|3.00||
4585||Corn Tech Hours|||16|1|8|3.00||
4586||Managing Literature Circles|||16|1|8|1.00||
4587||Corn Tech Hours|||16|1|8|4.00||
4590||What's New in Children's Literature|||16|1|8|1.00||lit
4591||New Teacher Technology Training|||16|1|8|9.00||
4593||CV Tech Hours 1st Semester 2000-2001|||16|1|8|2.00||
4594||CV Tech Hours 1st Semester 2000-2001|||16|1|8|7.00||
4595||Review the basics of Power Point|||16|1|8|1.00||
4596||CS Tech Hours (6)|||16|1|8|6.00||
4597||CV Tech Hours 1st Semester 2000-2001|||16|1|8|8.00||
4598||CV Tech Hours 1st Semester 2000-2001|||16|1|8|10.00||
